"","kingdom","phylum","class","order","family","genus","species"
"76775","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia restricta"
"76777","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia sympodialis"
"4932","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae"
"169388","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium solani"
"231269","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium coffeatum"
"215243","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala oligosperma"
"5529","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium",NA
"31870","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum graminicola"
"44092","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycopsidaceae","Saccharomycopsis","Saccharomycopsis malanga"
"49012","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Sporisorium","Sporisorium scitamineum"
"76773","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia globosa"
"121627","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces rugulosus"
"1441469","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces atroroseus"
"41413","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus glaucus"
"395010","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Zasmidium","Zasmidium cellare"
"5480","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida","Candida parapsilosis"
"5579","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",NA
"5580","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium pullulans"
"559561","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium namibiae"
"1042127","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium subglaciale"
"46634","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium melanogenum"
"1504451","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium sp. P25"
"61296","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium sp."
"1221396","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium sp. CHAM-10"
"658027","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium sp. LBJBS03"
"1221393","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium sp. C2-1"
"587467","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium sp. B12"
"1620302","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium sp. 1 GAMM-2015"
"1592451","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium zeae"
"64499","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Sydowia","Sydowia polyspora"
"284138","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","Hormonema carpetanum"
"93490","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Dothiora","Dothiora cannabinae"
"147560","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Delphinella","Delphinella strobiligena"
"613051","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae",NA,"uncultured Aureobasidium"
"1352360","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Pseudoseptoria","Pseudoseptoria obscura"
"45096","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Dothidea",NA
"673178","Fungi","Ascomycota","Dothideomycetes","Dothideales",NA,"Selenophoma","Selenophoma australiensis"
"1047171","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Zymoseptoria","Zymoseptoria tritici"
"29002","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Cercospora",NA
"438356","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Cercospora","Cercospora sojina"
"122368","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Cercospora","Cercospora beticola"
"1246974","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Cercospora","Cercospora sp. C JZG-2013"
"135779","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Cercospora","Cercospora zeae-maydis"
"131324","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Pseudocercospora",NA
"1873960","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Pseudocercospora","Pseudocercospora fijiensis"
"1341201","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Pseudocercospora","Pseudocercospora mori"
"113226","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Pseudocercospora","Pseudocercospora musae"
"1387659","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Pseudocercospora","Pseudocercospora pistacina"
"112497","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia",NA
"112498","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia","Ramularia collo-cygni"
"85929","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Sphaerulina","Sphaerulina musiva"
"5499","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Passalora","Passalora fulva"
"693014","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Passalora","Passalora nattrassii"
"561286","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Geastrumia","Geastrumia polystigmatis"
"64363","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Dothistroma","Dothistroma septosporum"
"245834","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Neohortaea","Neohortaea acidophila"
"1709381","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Baudoinia","Baudoinia panamericana"
"237584","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Teratosphaeria",NA
"161662","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Teratosphaeria","Teratosphaeria nubilosa"
"237585","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Teratosphaeria","Teratosphaeria fibrillosa"
"470147","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Teratosphaeria","Teratosphaeria epicoccoides"
"470132","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Catenulostroma","Catenulostroma chromoblastomycosum"
"91943","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Hortaea","Hortaea werneckii"
"1508293","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Ramopenidiella","Ramopenidiella cycadicola"
"747479","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Batcheloromyces","Batcheloromyces alistairii"
"112489","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Dissoconiaceae","Dissoconium","Dissoconium aciculare"
"286617","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Schizothyriaceae","Schizothyrium","Schizothyrium pomi"
"5498","Fungi","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium",NA
"92950","Fungi","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium sphaerospermum"
"1707700","Fungi","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium sp."
"29917","Fungi","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"1116209","Fungi","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium phlei"
"29918","Fungi","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium herbarum"
"166633","Fungi","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cucumerinum"
"1338630","Fungi","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium allicinum"
"93495","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae","Capnodium","Capnodium coffeae"
"1254183","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,"Capnodiales sp. 22MS03"
"40997","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Elsinoaceae","Elsinoe","Elsinoe fawcettii"
"5598","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA
"5599","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria alternata"
"119927","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria tenuissima"
"156630","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria arborescens"
"160389","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria longipes"
"48100","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria solani"
"45303","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria infectoria"
"119953","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria atra"
"1132468","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria sorghi"
"29001","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria brassicicola"
"247034","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria planifunda"
"29911","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria brassicae"
"216837","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria cinerariae"
"119956","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria botrytis"
"33194","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris",NA
"5016","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","Bipolaris maydis"
"45130","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","Bipolaris sorokiniana"
"101162","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","Bipolaris oryzae"
"5017","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","Bipolaris zeicola"
"40125","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","Bipolaris victoriae"
"74410","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","Bipolaris cookei"
"5027","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora",NA
"53485","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora","Pyrenophora teres"
"45151","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora","Pyrenophora tritici-repentis"
"5028","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora","Pyrenophora graminea"
"93612","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum","Exserohilum turcicum"
"1659837","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum","Exserohilum rostratum"
"95729","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium",NA
"183478","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium lycopersici"
"235069","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium eturmiunum"
"119933","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium vesicarium"
"237916","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium sp. T-37"
"120510","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium botryosum"
"183479","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium majusculum"
"5502","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia",NA
"5503","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia lunata"
"95742","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia clavata"
"145392","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia spicifera"
"418125","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia eragrostidis"
"1715225","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia sp."
"234986","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pleospora","Pleospora sp. P56"
"220672","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria","Leptosphaeria biglobosa"
"5022","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria","Leptosphaeria maculans"
"55170","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella",NA
"100019","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella","Didymella exigua"
"749589","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella","Didymella pinodes"
"301207","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Macroventuria","Macroventuria anomochaeta"
"5453","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta",NA
"749586","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta","Ascochyta pisi"
"5454","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta","Ascochyta rabiei"
"107450","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta","Ascochyta medicaginicola"
"37463","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma",NA
"1573585","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","Phoma sp. 1 OB-2014"
"1707701","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","Phoma sp."
"1828523","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","Phoma sp. MF5453"
"137527","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","Phoma betae"
"73001","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","Phoma herbarum"
"749880","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Stagonosporopsis",NA
"1253946","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","Epicoccum sp. 22MS01"
"1351751","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora",NA
"13684","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora","Parastagonospora nodorum"
"1351752","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora","Parastagonospora avenae"
"2591512","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeriopsis","Phaeosphaeriopsis pseudoagavacearum"
"536020","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,"uncultured Phaeosphaeria"
"1077358","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Coniothyriaceae","Coniothyrium","Coniothyrium glycines"
"390896","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Trematosphaeriaceae","Trematosphaeria","Trematosphaeria pertusa"
"1460663","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","Paraphaeosphaeria sporulosa"
"565426","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","Paraphaeosphaeria minitans"
"58128","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Helminthosporium","Helminthosporium solani"
"1303460","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","Keissleriella taminensis"
"1571500","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","Darksidea alpha"
"414560","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Periconia cookei"
"548649","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dothidotthiaceae","Dothidotthia","Dothidotthia symphoricarpi"
"1450171","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,"Aaosphaeria","Aaosphaeria arxii"
"318751","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Westerdykella","Westerdykella ornata"
"1500034","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia sp. GSM3_1"
"45137","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia lignicola"
"673940","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lindgomycetaceae","Lindgomyces","Lindgomyces ingoldianus"
"1547544","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Astrosphaeriellaceae","Pithomyces","Pithomyces chartarum"
"224420","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Shiraiaceae","Shiraia","Shiraia bambusicola"
"665115","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Shiraiaceae","Shiraia","Shiraia sp. slf14"
"703492","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massariaceae","Massaria","Massaria anomia"
"45761","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Quintaria","Quintaria lignatilis"
"278010","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Arthopyreniaceae","Arthopyrenia","Arthopyrenia salicis"
"50376","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Venturia","Venturia effusa"
"253628","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Verruconis","Verruconis gallopava"
"1047141","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Ochroconis","Ochroconis mirabilis"
"574789","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiaceae","Mytilinidion","Mytilinidion resinicola"
"641380","Fungi","Ascomycota","Dothideomycetes",NA,"Gloniaceae","Cenococcum","uncultured Cenococcum"
"45133","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Lasiodiplodia","Lasiodiplodia theobromae"
"236234","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Diplodia","Diplodia corticola"
"1934621","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Diplodia","Diplodia insularis"
"553242","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Endomelanconiopsis","Endomelanconiopsis endophytica"
"276832","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Dothiorella",NA
"120395","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Neofusicoccum","Neofusicoccum luteum"
"462254","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Aplosporellaceae","Aplosporella","Aplosporella prunicola"
"1986016","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Phyllostictaceae","Phyllosticta","Phyllosticta cirsii"
"121624","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Phyllostictaceae","Phyllosticta","Phyllosticta capitalensis"
"570527","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Saccharataceae","Saccharata","Saccharata kirstenboschensis"
"2093401","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Saccharataceae","Saccharata","Saccharata epacridis"
"1248177","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Planistromellaceae","Kellermania",NA
"286661","Fungi","Ascomycota","Dothideomycetes",NA,NA,"Peltaster","Peltaster fructicola"
"470096","Fungi","Ascomycota","Dothideomycetes","Acrospermales","Acrospermaceae","Pseudovirgaria","Pseudovirgaria hyperparasitica"
"1341166","Fungi","Ascomycota","Dothideomycetes","Eremomycetales","Eremomycetaceae","Eremomyces","Eremomyces bilateralis"
"61459","Fungi","Ascomycota","Dothideomycetes",NA,NA,"Bonordeniella","Coniosporium apollinis"
"100028","Fungi","Ascomycota","Dothideomycetes","Patellariales",NA,"Hysteropatella",NA
"100029","Fungi","Ascomycota","Dothideomycetes","Patellariales",NA,"Hysteropatella","Hysteropatella clavispora"
"2530474","Fungi","Ascomycota","Dothideomycetes",NA,NA,"Seuratia","Seuratia cf. millardetii"
"147564","Fungi","Ascomycota","Dothideomycetes","Kirschsteiniotheliales","Kirschsteiniotheliaceae","Kirschsteiniothelia","Kirschsteiniothelia aethiops"
"2256897","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Tubeufia","Tubeufia bambusicola"
"796411","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Berkleasmium","Berkleasmium concinnum"
"2610807","Fungi","Ascomycota","Dothideomycetes","Asterinales","Asterinaceae","Thyrinula","Thyrinula parasitica"
"1206354","Fungi","Ascomycota","Dothideomycetes",NA,"Pseudoperisporiaceae","Lizonia","Lizonia sexangularis"
"2530468","Fungi","Ascomycota","Dothideomycetes",NA,"Micropeltidaceae","Stomiopeltis","Stomiopeltis sp. 2 LR-2019"
"748632","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,"Dothideomycetes sp. TRN 11"
"745704","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,"Dothideomycetes sp. AN13"
"1180555","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,"Dothideomycetes sp. genotype 147"
"2488734","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","Arthonia","Arthonia susa"
"2713876","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","Arthonia","Arthonia lobariellae"
"2249810","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","Arthonia","Arthonia toensbergii"
"543791","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Opegraphaceae","Opegrapha","Opegrapha vulgata"
"72318","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Roccella","Roccella canariensis"
"1381127","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Dirina","Dirina approximata"
"748630","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae",NA,"Phaeococcomycetaceae sp. TRN456"
"13201","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces",NA
"2040901","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","Phaeococcomyces sp."
"1280499","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","Phaeococcomyces aff. nigricans P40D010"
"5506","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"5127","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium fujikuroi"
"117187","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium verticillioides"
"948311","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium proliferatum"
"42677","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium subglutinans"
"78861","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium acutatum"
"56646","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium venenatum"
"5518","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium graminearum"
"5516","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium culmorum"
"101028","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium pseudograminearum"
"5507","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium oxysporum"
"2502994","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium odoratissimum"
"2747968","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium vanettenii"
"48486","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium babinda"
"1101274","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium sp. NRRL 52700"
"29916","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium sp."
"40199","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium avenaceum"
"152502","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium hostae"
"29855","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Nectria","Nectria cinnabarina"
"64609","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","Ilyonectria destructans"
"1053159","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Microcera","Microcera rubra"
"215734","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ophionectria","Ophionectria trichospora"
"78410","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neonectria","Neonectria ditissima"
"1053259","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria","Thelonectria discophora"
